a,b,c
Joseph Zaniolini,jzaniolini0@simplemachines.org,Male
Freida Drillingcourt,fdrillingcourt1@umich.edu,Female
Nanni Herity,nherity2@statcounter.com,Female
Orazio Frayling,ofrayling3@economist.com,Male
Julianne Murrison,jmurrison4@cbslocal.com,Female
Joseph Zaniolini,jzaniolini0@simplemachines.org,Male
Freida Drillingcourt,fdrillingcourt1@umich.edu,Female
Nanni Herity,nherity2@statcounter.com,Female
Orazio Frayling,ofrayling3@economist.com,Male
Julianne Murrison,jmurrison4@cbslocal.com,Female
